"ID"	"AIOne"	"AITwo"	"StartPlayerIndex"	"AIOneWin"
"1"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"2"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"3"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"4"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"5"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"6"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"7"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"8"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"9"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"10"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"11"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"12"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"13"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"14"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"15"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"16"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"17"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"18"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"19"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"20"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"21"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"22"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"23"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"24"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"25"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"26"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"27"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"28"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"29"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"30"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"31"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"32"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"33"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"34"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"35"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"36"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"37"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"38"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"39"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"40"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"41"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"42"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"43"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"44"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"45"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"46"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"47"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"48"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"49"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"50"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"51"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"52"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"53"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"54"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"55"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"56"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"57"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"58"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"59"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"60"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"61"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"62"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"63"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"64"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"65"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"66"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"67"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"68"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"69"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"70"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"71"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"72"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"73"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"74"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"75"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"76"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"77"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"78"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"79"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"80"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"81"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"82"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"83"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"84"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"85"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"86"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"87"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"88"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"89"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"90"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"91"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"92"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"93"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"94"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"95"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"96"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"97"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"98"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"99"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"100"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"101"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"102"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"103"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"104"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"105"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"106"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"107"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"108"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"109"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"110"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"111"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"112"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"113"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"114"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"115"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"116"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"117"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"118"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"119"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"120"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"121"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"122"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
"123"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"124"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"125"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"126"	"Very Easy AI"	"Very Easy AI"	"1"	"0"
"127"	"Very Easy AI"	"Very Easy AI"	"1"	"1"
